Id,Layer,Path,CreatedDate,CreatedUser,CreatedUserId,ModifiedDate,ModifiedUser,ModifiedUserId,Title,Description,tendonvi,diachi,vitri,dienthoai,quanhuyen,phuongxa,RLongitude,RLatitude
d2a97890-37ca-4216-b76e-a02879726278,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/dd4f4168-7d4e-4198-a2a4-72f9f3480cc7,2022-08-08T15:33:01.000Z,admin,2,2022-08-08T15:33:01.000Z,admin,2,Trường Trung Học Phổ Thông Cần Thạnh - Cơ Sở 2,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Cần Thạnh - Cơ Sở 2,Khu Phố Giồng Ao Đường Lương Văn Nho,"{""type"":""Point"",""coordinates"":[106.95156,10.40934]}",66566465,Huyện Cần Giờ,Thị Trấn Cần Thạnh,106.95156,10.40934
14f9fa4e-83fa-47eb-8fa4-cdca3116c697,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/c75fc280-64ae-4486-9b6a-57b12772ae05,2022-08-08T15:33:02.000Z,admin,2,2022-08-08T15:33:02.000Z,admin,2,Trường Trung Học Phổ Thông An Nhơn Tây,hcm_thpt.xlsx,Trường Trung Học Phổ Thông An Nhơn Tây,1290 Tình Lộ 7,"{""type"":""Point"",""coordinates"":[106.50833,11.083187]}",,Huyện Củ Chi,Xã An Nhơn Tây,106.50833,11.083187
36d07204-9d5a-49ee-93bb-00ae931095b0,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/c1b4d985-6495-449e-bc69-f937341a8bbf,2022-08-08T15:33:04.000Z,admin,2,2022-08-08T15:33:04.000Z,admin,2,Trường Trung Học Phổ Thông Chuyên Năng Khiếu Thể Dục Thể Thao Nguyễn Thị Định,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Chuyên Năng Khiếu Thể Dục Thể Thao Nguyễn Thị Định,Đường Phạm Đức Sơn,"{""type"":""Point"",""coordinates"":[106.622756,10.724177]}",,Quận 8,Phường 16,106.622756,10.724177
6206727a-1e83-41d3-b2cc-1e1cbf2dce30,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/9993ff0c-42d1-43fa-9038-afd9813e20e7,2022-08-08T15:33:05.000Z,admin,2,2022-08-08T15:33:05.000Z,admin,2,Trường Trung Học Phổ Thông Công Lập Trần Hưng Đạo,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Công Lập Trần Hưng Đạo,Đường Số 28,"{""type"":""Point"",""coordinates"":[106.68194,10.846388]}",39163096,Quận Gò Vấp,Phường 6,106.68194,10.846388
c646ce56-5b3f-4986-9989-3d981cccd2c9,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/b830d91d-5b71-4c86-b3f8-eac0a2d2afe6,2022-08-08T15:33:12.000Z,admin,2,2022-08-08T15:33:12.000Z,admin,2,Trường Trung Học Phổ Thông Mạc Đĩnh Chi,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Mạc Đĩnh Chi,4 Đường Tân Hòa Đông,"{""type"":""Point"",""coordinates"":[106.634248,10.754454]}",,Quận 6,Phường 14,106.634248,10.754454
b8b0ca6a-e622-43a1-877a-72bef7764346,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/30e59770-cf5f-4044-960e-7d7462615b3d,2022-08-08T15:33:13.000Z,admin,2,2022-08-08T15:33:13.000Z,admin,2,Trường Trung Học Phổ Thông Mạc Đĩnh Chi (Cổng 2),hcm_thpt.xlsx,Trường Trung Học Phổ Thông Mạc Đĩnh Chi (Cổng 2),Đường Tân Hòa Đông,"{""type"":""Point"",""coordinates"":[106.63461,10.754408]}",,Quận 6,Phường 14,106.63461,10.754408
5bc1da2d-aeb1-4b27-ac42-42eb4f3dd391,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/75a840b6-5b76-4388-ac88-bd9aab378dc1,2022-08-08T15:33:16.000Z,admin,2,2022-08-08T15:33:16.000Z,admin,2,Trường Trung Học Phổ Thông Nguyễn Hiền,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Nguyễn Hiền,3 Đường Dương Đình Nghệ,"{""type"":""Point"",""coordinates"":[106.650013,10.76159]}",39627314,Quận 11,Phường 8,106.650013,10.76159
04b1b2eb-e880-42fe-a488-0951e2c42c51,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/45989148-75fb-40bd-914f-77ecf8fa1ed8,2022-08-08T15:33:17.000Z,admin,2,2022-08-08T15:33:17.000Z,admin,2,Trường Trung Học Phổ Thông Nguyễn Hữu Cầu,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Nguyễn Hữu Cầu,9 Đường Tô Ký,"{""type"":""Point"",""coordinates"":[106.615246,10.86844]}",,Huyện Hóc Môn,Xã Trung Chánh,106.615246,10.86844
674e51d2-298b-4e4b-9fb3-d44670d47bc7,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/f42c0b24-2bfc-46e9-98e6-bcf690b53bb3,2022-08-08T15:33:19.000Z,admin,2,2022-08-08T15:33:19.000Z,admin,2,Trường Trung Học Phổ Thông LÊ THÁNH TÔN,hcm_thpt.xlsx,Trường Trung Học Phổ Thông LÊ THÁNH TÔN,124 Đường số 17,"{""type"":""Point"",""coordinates"":[106.710941,10.744988]}",,Quận 7,Phường Tân Quy,106.710941,10.744988
5adda545-92fe-487f-a31a-2278641f24e4,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/9e0a71c9-65fa-407e-a949-3663c935c1b7,2022-08-08T15:33:19.000Z,admin,2,2022-08-08T15:33:19.000Z,admin,2,Trường Trung Học Phổ Thông Nguyễn Huệ,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Nguyễn Huệ,Đường Nguyễn Văn Tăng,"{""type"":""Point"",""coordinates"":[106.81817,10.844329]}",,Thành Phố Thủ Đức,Phường Long Thạnh Mỹ,106.81817,10.844329
d535b3b1-23a6-46ce-802f-71c98790fa6c,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/50f231e4-58a9-4b6e-8bf1-ff6880eeb416,2022-08-08T15:33:20.000Z,admin,2,2022-08-08T15:33:20.000Z,admin,2,Trường Trung Học Phổ Thông Nguyễn Thị Diệu,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Nguyễn Thị Diệu,12 Đường Trần Quốc Toản,"{""type"":""Point"",""coordinates"":[106.689298,10.789443]}",38298480,Quận 3,Phường Võ Thị Sáu,106.689298,10.789443
5a7ccd1c-3148-416d-bad4-dbbffbe10250,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/bac9ea42-6ea4-4f4e-94d7-1a8297671274,2022-08-08T15:33:20.000Z,admin,2,2022-08-08T15:33:20.000Z,admin,2,Trường Trung Học Phổ Thông Nguyễn Huệ,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Nguyễn Huệ,13 Đường Số 13,"{""type"":""Point"",""coordinates"":[106.819042,10.844866]}",37330255,Thành Phố Thủ Đức,Phường Long Thạnh Mỹ,106.819042,10.844866
8a879362-f5f8-49d8-bb84-f37ffa7e8d1f,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/b31baf0c-8a16-43c5-9de0-151e5865d436,2022-08-08T15:33:20.000Z,admin,2,2022-08-08T15:33:20.000Z,admin,2,Trường Trung Học Phổ Thông Nguyễn Thượng Hiền,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Nguyễn Thượng Hiền,648 Đường Hoàng Văn Thụ,"{""type"":""Point"",""coordinates"":[106.654281,10.79376]}",38441558,Quận Tân Bình,Phường 4,106.654281,10.79376
5c780494-3e1d-4277-8677-3ac99afe7eef,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/91f9a1a0-9554-452d-8bf7-9c8dcf6f5e7f,2022-08-08T15:33:21.000Z,admin,2,2022-08-08T15:33:21.000Z,admin,2,Trường Trung Học Phổ Thông Nguyễn Trãi,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Nguyễn Trãi,364 Đường Nguyễn Tất Thành,"{""type"":""Point"",""coordinates"":[106.712141,10.760194]}",,Quận 4,Phường 18,106.712141,10.760194
d8aa4b9e-9210-4979-a676-52e36ef85ffe,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/36e7be5d-0308-4f06-bfc1-9614ee77caa6,2022-08-08T15:33:22.000Z,admin,2,2022-08-08T15:33:22.000Z,admin,2,Trường Trung Học Phổ Thông Nguyễn Trãi,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Nguyễn Trãi,43 Đường Xóm Chiếu,"{""type"":""Point"",""coordinates"":[106.711584,10.759516]}",,Quận 4,Phường 18,106.711584,10.759516
7027da33-ac39-4f63-97d9-753204a68e19,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/dd0dbec4-8e46-4446-a205-b2bce1148191,2022-08-08T15:33:24.000Z,admin,2,2022-08-08T15:33:24.000Z,admin,2,Trường Trung Học Phổ Thông Hòa Bình,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Hòa Bình,152 Đường Nguyễn Duy Dương,"{""type"":""Point"",""coordinates"":[106.671007,10.760829]}",38322883-36063181,Quận 10,Phường 2,106.671007,10.760829
24079ff3-e6be-46a0-95ab-a837357cf5d4,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/7f7aa6c4-e399-4965-b69b-47b1b22b44e0,2022-08-08T15:33:24.000Z,admin,2,2022-08-08T15:33:24.000Z,admin,2,Trường Trung Học Phổ Thông Phạm Phú Thứ,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Phạm Phú Thứ,425-435 Đường Gia Phú,"{""type"":""Point"",""coordinates"":[106.647207,10.743775]}",,Quận 6,Phường 3,106.647207,10.743775
085a91cb-bd64-4717-9771-3da62dda44a1,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/5cd1c8f3-9df9-49ca-af1d-632af5bdc019,2022-08-08T15:33:24.000Z,admin,2,2022-08-08T15:33:24.000Z,admin,2,Trường Trung Học Phổ Thông Phan Đăng Lưu,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Phan Đăng Lưu,27 Đường Nguyễn Thượng Hiền,"{""type"":""Point"",""coordinates"":[106.686056479812,10.8055834939077]}",35501173,Quận Bình Thạnh,Phường 6,106.686056479812,10.8055834939077
