Id,Layer,Path,CreatedDate,CreatedUser,CreatedUserId,ModifiedDate,ModifiedUser,ModifiedUserId,Title,Description,Name,tendonvi,diachi,vitri,dienthoai,quanhuyen,phuongxa,RLongitude,RLatitude
cd0bf686-a137-42d0-bb73-db11248d21d4,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/8fd8298a-1114-4b9d-8cbd-0416b48b4e6d,2022-08-09T01:27:34.000Z,admin,2,2022-08-09T01:27:34.000Z,admin,2,Trường Tiểu Học Thực Hành Sư Phạm Phan Đình Phùng,hcm_tieuhoc.xlsx,8fd8298a-1114-4b9d-8cbd-0416b48b4e6d,Trường Tiểu Học Thực Hành Sư Phạm Phan Đình Phùng,Đường Nguyễn Đình Chiểu,"{""type"":""Point"",""coordinates"":[106.681765,10.768954]}",,Quận 3,Phường 2,106.681765,10.768954
6b4958de-e228-4d31-810d-7421d6cb5d13,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/1059f8df-f999-4a26-a838-00f4af2073f4,2022-08-09T01:27:37.000Z,admin,2,2022-08-09T01:27:37.000Z,admin,2,Trường Tiểu Học Thái Hưng,hcm_tieuhoc.xlsx,1059f8df-f999-4a26-a838-00f4af2073f4,Trường Tiểu Học Thái Hưng,785 Đường Tạ Quang Bửu,"{""type"":""Point"",""coordinates"":[106.672433,10.73789]}",38502089,Quận 8,Phường 4,106.672433,10.73789
a2c23453-8811-482e-b8b5-d42e2dec603c,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/4650de75-e8e4-478e-a424-d1446fe88a52,2022-08-09T01:27:40.000Z,admin,2,2022-08-09T01:27:40.000Z,admin,2,Trường Tiểu Học Thị Trấn Củ Chi - Cổng Số 2,hcm_tieuhoc.xlsx,4650de75-e8e4-478e-a424-d1446fe88a52,Trường Tiểu Học Thị Trấn Củ Chi - Cổng Số 2,Đường Nguyễn Đình Huân,"{""type"":""Point"",""coordinates"":[106.492222,10.973617]}",,Huyện Củ Chi,Thị Trấn Củ Chi,106.492222,10.973617
d2840527-a9d3-4687-86a4-08306338f41a,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/e892951e-a0c4-4237-92dc-0e4647f1af77,2022-08-09T01:27:41.000Z,admin,2,2022-08-09T01:27:41.000Z,admin,2,Trường Tiểu Học Trần Văn Ơn,hcm_tieuhoc.xlsx,e892951e-a0c4-4237-92dc-0e4647f1af77,Trường Tiểu Học Trần Văn Ơn,29/325 Khu Phố 7 Đường Nguyễn Văn Quá,"{""type"":""Point"",""coordinates"":[106.620396,10.838631]}",,Quận 12,Phường Tân Hưng Thuận,106.620396,10.838631
0ddf2d41-d88a-4b9f-95e4-7d5ca123e873,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/dfc5e544-5707-4a68-8914-85d688d7b687,2022-08-09T01:27:45.000Z,admin,2,2022-08-09T01:27:45.000Z,admin,2,Trường Tiểu Học Tuy Lý Vương,hcm_tieuhoc.xlsx,dfc5e544-5707-4a68-8914-85d688d7b687,Trường Tiểu Học Tuy Lý Vương,381 Đường Tùng Thiện Vương,"{""type"":""Point"",""coordinates"":[106.659293425323,10.7454975408297]}",38535185,Quận 8,Phường 12,106.659293425323,10.7454975408297
37b32806-f4f0-430f-8ffc-edd9e2dd045f,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/f2bdae71-4de1-43f9-a581-0322f4885bfb,2022-08-09T01:27:49.000Z,admin,2,2022-08-09T01:27:49.000Z,admin,2,Trường Tiểu Học Và Trung Học Cơ Sở Tây Úc,hcm_tieuhoc.xlsx,f2bdae71-4de1-43f9-a581-0322f4885bfb,Trường Tiểu Học Và Trung Học Cơ Sở Tây Úc,43 Đường Nguyễn Thông,"{""type"":""Point"",""coordinates"":[106.683429,10.77862]}",,Quận 3,Phường Võ Thị Sáu,106.683429,10.77862
1599c611-6d47-4504-8879-ff18273a0df3,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/95bccac0-f494-4b32-8368-c6c2413b8a68,2022-08-09T01:27:50.000Z,admin,2,2022-08-09T01:27:50.000Z,admin,2,Trường Tiểu Học Yên Thế,hcm_tieuhoc.xlsx,95bccac0-f494-4b32-8368-c6c2413b8a68,Trường Tiểu Học Yên Thế,341E Đường Lê Quang Định,"{""type"":""Point"",""coordinates"":[106.690274,10.811705]}",38942556,Quận Bình Thạnh,Phường 5,106.690274,10.811705
dd4663dc-3c7e-4d55-a1db-b93e5041b66e,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/458c0e10-dd27-4d22-8239-71cc023d1775,2022-08-09T01:27:50.000Z,admin,2,2022-08-09T01:27:50.000Z,admin,2,Trường Tiểu Học Trần Quang Cơ (Cổng Sau),hcm_tieuhoc.xlsx,458c0e10-dd27-4d22-8239-71cc023d1775,Trường Tiểu Học Trần Quang Cơ (Cổng Sau),Đường Hòa Hảo,"{""type"":""Point"",""coordinates"":[106.669095,10.761449]}",,Quận 10,Phường 4,106.669095,10.761449
918164c1-4c9e-401c-8982-7af9f4c5901f,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/676f4bb3-894d-4601-8b37-a162e17e85d1,2022-08-09T01:27:51.000Z,admin,2,2022-08-09T01:27:51.000Z,admin,2,Trường Tiểu Học Vàm Cỏ Đông,hcm_tieuhoc.xlsx,676f4bb3-894d-4601-8b37-a162e17e85d1,Trường Tiểu Học Vàm Cỏ Đông,748-750 Đường Phạm Thế Hiển,"{""type"":""Point"",""coordinates"":[106.672372689519,10.7438989940319]}",38508347,Quận 8,Phường 4,106.672372689519,10.7438989940319
d2b5b6f5-7ece-4dcb-9a8d-fed34d9cae71,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/4b1e6b2d-094f-46ac-853b-5dc1b25d591e,2022-08-09T01:27:51.000Z,admin,2,2022-08-09T01:27:51.000Z,admin,2,Trường Tiểu Học Tân Thạnh Tây,hcm_tieuhoc.xlsx,4b1e6b2d-094f-46ac-853b-5dc1b25d591e,Trường Tiểu Học Tân Thạnh Tây,Tỉnh Lộ 8,"{""type"":""Point"",""coordinates"":[106.553304,10.984494]}",,Huyện Củ Chi,Xã Tân Thạnh Tây,106.553304,10.984494
